imdb_id,calibrated_probability,expected_cost_greenlight,expected_cost_pass,expected_cost_refer,recommended_action,rationale,true_label,genre
tt8093700,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Action
tt0383028,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Drama
tt2980592,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Mystery
tt0101393,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Crime
tt0130018,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Horror
tt0091763,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt1412386,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt5503686,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt8368408,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Action
tt5814060,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Horror
